question,answer,question_type
How many days do we have in a week?,Seven,kid
How many days are there in a normal year?,365 (not a leap year),kid
How many colors are there in a rainbow?,7,kid
Which animal is known as the ‘Ship of the Desert?’,Camel,kid
How many letters are there in the English alphabet?,26,kid
How many consonants are there in the English alphabet?,21,kid
How many sides are there in a triangle?,Three,kid
Which month of the year has the least number of days?,February,kid
Which are the vowels in the English alphabet series?,"A, E, I, O, U",kid
Which animal is called King of Jungle?,Lion,kid
How many primary colors are there?,"Three (red, yellow, blue)",kid
How many days are there in the month of February in a leap year?,29 days,kid
What do you call a house made of ice?,Igloo,kid
Which is the largest animal in the world?,Blue whale,kid
Which is the tallest animal on the earth?,Giraffe,kid
Which festival is known as the festival of colors?,Holi,kid
Which festival is called the festival of light?,Diwali,kid
What is the top color in a rainbow?,Red,kid
What type of bird lays the largest eggs?,Ostrich,kid
Which festival is known as the ‘Festival of flowers’?,Onam,kid
In which direction does the sunrise?,East,kid
Which is the world’s largest flower?,Rafflesia,kid
How many zeros are there in one hundred thousand?,Five,kid
How many hours are there in one days?,24 hours,kid
How many months of the year have 31 days?,"7 (January, March, May, July, August, October and December)",kid
How many weeks are there in one year?,52,kid
Which are the colors in a rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red",kid
How many bones does an adult human have?,206,kid
Who was the first man to walk on the moon?,Neil Armstrong,kid
How many millimeters are there in 1cm?,10,kid
Which is the nearest star to planet earth?,Sun,kid
Which is the longest river on the earth?,Nile,kid
Which is the principal source of energy for earth?,Sun,kid
How many lungs does the human body have?,Two,kid
What is the standard taste of the water?,Water is tasteless,kid
Which is the tallest mountain in the world?,Mount Everest,kid
Which is the fastest animal on the land?,Cheetah,kid
Which continent is known as ‘Dark’ continent?,Africa,kid
Which planet is known as the Red Planet?,Mars,kid
Which is the most sensitive organ in our body?,Skin,kid
Which is the largest ocean in the world?,Pacific Ocean,kid
Which day is observed as World Environment Day?,5-Jun,kid
How many years are there in a century?,One Hundred,kid
Which is the largest country in the world?,Russia (By area),kid
Who invented the Computer?,Charles Babbage,kid
How many players are there in a cricket team?,11,kid
Which day is observed as World Literacy Day?,8-Sep,kid
Who is the inventor of Radio?,Marconi,kid
Which place is known as the roof of the world?,Tibet,kid
How many teeth does a healthy adult have including the wisdom teeth?,32,kid
Which gas is most abundant in the earth’s atmosphere?,Nitrogen,kid
How many people are there in the world?,Over 7 billion,kid
Which is the continent with the most number of countries?,Africa,kid
Which is the most common non-contagious disease in the world?,Tooth Decay,kid
How many strings does a violin have?,Four,kid
How many planets are there in our solar system?,8,kid
Which is the hottest continent on Earth?,Africa,kid
Which is the smallest continent in the world?,Australia,kid
How many years are there in a millennium?,1000,kid
Which country is home to the kangaroo?,Australia,kid
Who painted the Mona Lisa?,Leonardo da Vinci,kid
Who invented the telephone?,Alexander Graham Bell,kid
What does the Internet prefix WWW stand for?,World Wide Web,kid
How much of Earth’s surface is covered by ocean?,71%,kid
Who discovered Penicillin in 1928?,Alexander Fleming,kid
How many stars are there in the American flag?,50,kid
What do you call a type of shape that has five sides?,Pentagon,kid
"Which way is anti-clockwise, left or right?",Left,kid
How many equal sides does an isosceles triangle have?,2,kid
Which is the coldest location in the earth?,East Antarctica,kid
Who discovered electricity?,Benjamin Franklin,kid
Which is the most widely spoken language in the world?,Mandarin (Chinese),kid
Which two parts of the body continue to grow for your entire life?,Nose and Ears,kid
The largest ‘Democracy’ in the world?,India,kid
Who is the inventor of Television?,John Logie Baird,kid
Which is the largest plateau in the world?,Tibetan Plateau,kid
Which is the instrument used to measure Blood pressure?,Sphygmomanometer,kid
What color symbolizes peace?,White,kid
Who is the founder of Microsoft?,Bill Gates,kid
During which year did World War I begin?,1914,kid
How many Cricket world cups does India have?,2,kid
Global warming is caused by the excess of which type of gas?,Carbon dioxide,kid
How many cards are there in a complete pack of cards?,52,kid
What is the name of the biggest rain forest in the world?,The Amazon,kid
Which African nation is famous for chocolate?,Ghana,kid
What makes up (approx ) 80% of our brain’s volume?,Water,kid
Which instrument is used for measuring wind speed?,Anemometer,kid
‘Stars and Stripes’ is the nickname of the flag of which country?,United States of America,kid
Which language is used by the computer to process data?,Binary language,kid
What covers approximately 71% of the Earth’s surface: Land or water?,Water,kid
Which is the hardest substance available on earth?,Diamond,kid
Which is the biggest desert in the world?,Sahara desert,kid
Which country gifted The Statue of Liberty to the United States?,France,kid
What is the name of the Greek God of music?,Apollo,kid
What does the “SIM” in the SIM card stand for?,Subscriber Identity Module,kid
Which is the first element on the periodic table of elements?,Hydrogen,kid
Which is the longest written Constitution in the world?,India,kid
What is the largest joint in the human body?,Knee,kid
Which is the smallest bone in the human body?,Stapes (Ear bone),kid
Which instrument is used to measure Atmospheric Pressure?,Barometer,kid
Which is the largest continent in the world?,Asia,kid
Who is the inventor of the electric Bulb?,Thomas Alva Edison,kid
On whose memory Nobel Prize is awarded?,Alfred Nobel,kid
Who is the first woman to go to space?,Valentina Tereshkova,kid
What is HCl?,Hydrochloric acid,kid
What is currency of China?,Renminbi,kid
"Chameleons have extremely long tongues, sometimes as long as their bodies. True or False?",TRUE,kid
An ostrich’s eye is bigger than its brain. True or False?,TRUE,kid
A sneeze is faster than the blink of an eye. True or False?,TRUE,kid
Pigs can look up into the sky. True or False?,False (They cannot),kid
There are 9 planets in our Solar System. True or False?,False (Our Solar system has only 8 planets; Pluto is a dwarf planet),kid
Mark Zuckerburg is the father of modern computers. True or False?,False (Charles Babbage is the father of modern computers),kid
The egg of a Hummingbird is the smallest egg in the world. True or False?,TRUE,kid
Frogs have to drink lots of water. True or False?,FALSE,kid
Some animals can get sunburn. True or False?,"True (Animals like dogs, cats and cows can get sunburns at the tip of their noses and ears).",kid
William Shakespeare is a scientist. True or False?,False (He is a dramatist),kid
Whales have belly buttons. True or False?,TRUE,kid
Sharks are color blind. True or False?,FALSE,kid
Mumbai is the capital of India. True or False?,False (Delhi is the capital of India),kid
Camels store water in their humps. True or False?,TRUE,kid
Humans have four hearts. True or False?,False (Humans have one heart with four chambers),kid
All tigers have yellow eyes. True or False?,TRUE,kid
A pediatrician is a child specialist. True or False?,TRUE,kid
Arachnophobia is the fear of dogs. True or False?,False (It is the fear of spiders),kid
Dodo is an endangered bird. True or False?,False (Dodo is an extinct bird),kid
Bhagat Singh is a Freedom fighter of India. True or False?,TRUE,kid
Washington DC is the capital of China. True or False?,False (Beijing is the capital of China),kid
June 5 is celebrated as Environment Day. True or False?,TRUE,kid
"Laika, the dog is the first animal to go to space. True or False?",TRUE,kid
Roman Calendar is named as Julian Calendar. True or False?,TRUE,kid
There are 12 players in a cricket team. True or False?,False (There are 11 players in a cricket team),kid
"Ball, Bat, Stump, Hockey stick. True or False?",Hockey stick,kid
"Hen, Dove, Pigeon, Cat",Cat,kid
"Hammer, Blacksmith, Carpenter, Cobbler",Hammer,kid
"Jeep, Car, Bike, Boat",Boat,kid
"Doctor, Surgeon, Nurse, Teacher",Teacher,kid
"Mother, Father, Brother, Friend",Friend,kid
"Earth, Mercury, Jupiter, Pluto",Pluto,kid
"Cabbage, Potato, Capsicum, Tomato",Potato,kid
"Pen, Pencil, Eraser, Ink Pen",Eraser,kid
"Aeroplane, Helicopter, Ship, Jet",Ship,kid
"Carrot, Mango, Banana, Apple",Carrot,kid
"Cow, Lion, Dog, Cat",Lion,kid
"2, 6, 7, 10",7,kid
"P J  Abdul Kalaam, C V  Raman, Issac Newton, William Shakespeare",William Shakespeare,kid
"Dispur, Pune, Patna, Shimla",Pune,kid
"1, 2, 4, 5",4,kid
"Asia, Europe, China, Australia",China,kid
"Radio, Television, Loudspeaker, Stereo",Television,kid
"Respiration, Digestion, Excretion, Photosynthesis",Photosynthesis,kid
"Hydrogen, Hypochlorite, Helium, Lithium",Hypochlorite,kid
"Noun, Pronoun, Articles, Adverb",Articles,kid
"Throat, Tongue, Nose, Ears",Throat,kid
"Coffee Powder, Chili Powder, Tea Powder, Green Tea Powder",Chilli Powder,kid
"Vitamin A, Vitamin B, Vitamin D, Vitamin K",Vitamin B,kid
"Dinosaur, Elephant, Hippopotamus, Giraffe",Dinosaur,kid
What is the place where books are kept called? a) Zoo b) Library c) Garden d) Museum,B. Library,kid
How many digits are there in Mathematics? a) Hundred b) Thousand c) Billion d) Infinite,D. Infinite,kid
Who is the first Prime Minister of India? a) P.J. Abdul Kalaam b) Jawaharlal Nehru c) Indira Gandhi d) Narendra Modi,B. Jawaharlal Nehru,kid
How many bananas will there be in a dozen banana? a) 8 b) 9 c) 10 d) 12,D.12,kid
Who is Mickey Mouse? a) Actor b) Scientist c)  Cartoon Character d) Doctor,C. Cartoon Character,kid
Who is the author of “God of Small Things”? a) Gabriel Garcia Marquez b) Aravind Adiga c) Arundhati Roy d) Victor Hugo,C. Arundhati Roy,kid
What is the value of Pie? a) 14 b) 916 c) 13 d) 34,A. 3.14 (22/7),kid
What is the position of Earth in our Solar system? a) First b) Second c) Third d) Fourth,C. Third,kid
Which is the biggest continent? a)Asia b) Africa c) Australia d) Europe,A. Asia,kid
How many wonders do we have in the world? a) Six b) Seven c) Eight d) Nine,B. Seven,kid
Who found the concept of “Gravitation” for the first time? a) Albert Einstein b) Charles Darwin c) Issac Newton d) V. Raman,C. Issac Newton,kid
Who is the author of “Julius Caesar”? a) William Shakespeare b) Geoffrey Chaucer c) John Milton d) Sylvia Plath,A. William Shakespeare,kid
When is UN day celebrated? a) October 21 b) June 24 c) October 24 d) June 21,C. October 24,kid
What are constellations? a) Group of planets b) Group of galaxies c) Group of stars d) Group of meteors,C. Group of stars,kid
Which planet is known as “The Blue Planet”? a) Mercury b) Venus c) Uranus d) Earth,D. Earth,kid
What is the person who compiles a dictionary called? a) Lexicographer b) Editor c) Compiler d) Director,A. Lexicographer,kid
What is the driver of a Train called? a) Pilot b) Train Driver c) Locopilot d) Captain,C. Locopilot,kid
What is the full form of RBI? a) Reputed Bank of India b) Reserve Bank of India c) Recovery Bank of India d) Reduced Bank of India,B. Reserve Bank of India,kid
What is the “Fear of Darkness” called? a) Nyctophobia b) Ablutophobia c) Ophidiophobia d) Arachnophobia,A. Nyctophobia,kid
What is the capital city of Peru? a) Lima b) Rome c) Los Angeles d) Prague,A. Lima,kid
How many states are there in India? a) 27 b) 28 c) 29 d) 30,B. 29,kid
Who discovered Aeroplane? a) Wright Brothers b) Steve Waugh c) Albert Einstein d) Stephen Hawking,A. Wright Brothers,kid
Which bird is the universal symbol of Peace? a) Pigeon b) Dove c) Peacock d) Pelican,B. Dove,kid
What causes Anemia? a) By the deficiency of Iron b) By the deficiency of Iodine c) By the deficiency of Vitamin D d) By the deficiency Calcium,A. By the deficiency of Iron,kid
Who is a “Chef”? a) A person who drives a car b) A person who cooks food c) A person who acts d) A person who treats patients,B. A person who cooks food,kid
What is the color of the sky?,Blue,kid
What is the job of a Doctor?,A Doctor treats sick people.,kid
What comes after 10 and before 13?,12,kid
Where does fish live?,In Water,kid
What is sun?,Sun is a big ball of fire.,kid
Who is Virat Kohli?,Indian Cricketer,kid
How many noses do you have?,One,kid
What is the color of Mango?,Yellow,kid
In which planet do we live?,Earth,kid
What is the young one of a cat called?,Kitten,kid
How many years are there in a century?,Hundred,kid
Which is the national game of India?,Hockey,kid
What is the full form of TV?,Television,kid
Solve 27*0,Zero (Any number multiplied by zero gives zero as the answer),kid
Which all animals give us milk?,"Cow, goat and buffalo",kid
What is the home of a lion called?,Den,kid
How many days are there in a week?,Seven,kid
Where do we deposit money?,Bank,kid
What is the place where animals are kept called?,Zoo,kid
What is COVID-19?,It is deadly disease spread across the world during 2019 and 2020.,kid
What is Beri-Beri?,It is a disease caused due to the deficiency of Vitamin B,kid
Where do we get coconut from?,We get coconut from coconut Tree,kid
Which state in India is known as “God’s Own Country”?,Kerala,kid
How do plants make food?,Plants make food through the process called Photosynthesis.,kid
Which place is known as the “Land of White Elephants”?,Thailand,kid
How many players are there in each side of a Hockey team?,11,kid
How many players are there in each side of a Basket Ball team?,5,kid
